X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Imports
-97.101794,34.2044000000001,76,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,Ardmore,Oklahoma,2,88,32,30,14,,20.5,7,113,,14.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,34.2044,-97.101794,1
-104.944705,39.801794,77,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,Commerce City East,Colorado,4,38.7,8.5,9.5,,,11,,11,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.801794,-104.944705,1
-122.255632,38.0434740000001,78,342,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Rodeo,California,5,128,93.2,,69,,34,13.8,62.5,51,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.043474,-122.255632,1
-118.243473,33.8108560000001,79,343,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Wilmington,California,5,147,83.4,51.6,27.5,,36.2,35.8,151.2,53.2,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.810856,-118.243473,1
-97.484505,27.816758,80,351,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,Corpus Christi,Texas,3,297,91,95.5,51,,50,40.5,293.5,19,30.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.816758,-97.484505,1
-78.629424,41.9667150000001,81,353,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,Bradford,Pennsylvania,1,11.8,,,,,2.2,0.8,8.7,,0.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.966715,-78.629424,0
-104.213903,43.8485210000001,82,356,HERMES CONSOLIDATED LLC,PAR PETROLEUM INC,New Castle,Wyoming,4,18.5,,7.5,,,4,1.3,10,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,43.848521,-104.213903,0
-115.617898,38.6214860000001,83,362,FORELAND REFINING CORP,FORELAND REFINING CORP,Ely,Nevada,5,5,2.8,,,,,,,,1.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.621486,-115.617898,0
-158.0914,21.303769,84,363,PAR HAWAII REFINING LLC,PAR PETROLEUM INC,Kapolei,Hawaii,5,152,71,,20,11,13.5,,13,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,21.303769,-158.0914,1
-87.9288769999999,37.906028,85,381,COUNTRYMARK COOPERATIVE INC,COUNTRYMARK COOP INC,Mount Vernon,Indiana,2,30.8,14.5,8.8,,,6.5,5.4,31,,3.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.906028,-87.928877,0
-92.712123,33.363209,86,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,Smackover,Arkansas,3,7.7,3.9,,,,,,6,,0.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.363209,-92.712123,0
-95.126797,29.7314410000001,87,385,DEER PARK REFINING LTD PARTNERSHIP,DEER PARK REFINING LTD PTNRSHP,Deer Park,Texas,3,340,180,80.1,60,,68.5,21,309.1,96,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.731441,-95.126797,1
-101.880991,35.95563,88,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Sunray,Texas,3,200,50,56,29,,47,12.8,131.5,,12,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.95563,-101.880991,0
-98.1882649999999,28.45921,89,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Three Rivers,Texas,3,91,33.5,23.8,28,,33.5,10,80,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,28.45921,-98.188265,1
-104.946497,39.8033110000001,90,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,Commerce City West,Colorado,4,73,25,21,,,10.9,,76.4,,13.2,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.803311,-104.946497,1
-93.271135,30.2412150000001,91,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Westlake,Louisiana,3,273,125,51.6,,,48,34,267,65.2,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.241215,-93.271135,1
-108.490143,45.7805700000001,92,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Billings,Montana,4,69.5,45.1,24.5,,,9.2,11.3,81.2,18.3,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.78057,-108.490143,1
-97.079264,36.675939,93,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ponca City,Oklahoma,2,226.7,89,76.9,,,49.3,17.6,240,27.4,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,36.675939,-97.079264,1
-93.962546,29.8573680000001,94,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,Port Arthur,Texas,3,415,220,75,134.8,,55,19.5,331.3,103,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.857368,-93.962546,1
-92.673774,33.199731,95,442,LION OIL CO,DELEK GROUP LTD,El Dorado,Arkansas,3,85,45,21,,,15.3,12.5,92.8,,20.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.199731,-92.673774,1
-95.251761,29.701556,96,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,Houston,Texas,3,289,196.5,110,,,,11.3,404.1,100.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.701556,-95.251761,1
-147.748499,64.85276,97,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,North Pole,Alaska,5,22.5,,,,,,,,,3,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,64.85276,-147.748499,0
-146.381762,61.081919,98,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,Valdez,Alaska,5,60,,,,,,,,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,61.081919,-146.381762,0
-93.332596,30.1811740000001,99,465,CITGO PETROLEUM CORP,PDV AMERICA INC,Lake Charles,Louisiana,3,440,230,151,51.2,,118.2,56.1,410.5,110,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.181174,-93.332596,1
-97.428434,27.809474,100,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,Corpus Christi,Texas,3,175.6,85.3,70.7,,,51.5,24.4,272.4,45.1,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.809474,-97.428434,1
-120.51108,34.930191,101,489,CALIFORNIA ASPHALT PRODUCTION INC,GREKA ENERGY,Santa Maria,California,5,10,10,,,,,,,,6.3,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,34.930191,-120.51108,0
-107.109511,41.7801630000001,102,496,SINCLAIR WYOMING REFINING CO,SINCLAIR OIL CORP,Sinclair,Wyoming,4,92,51,22,16,,13,5,74,20,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.780163,-107.109511,1
-95.999949,36.116749,103,497,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa East,Oklahoma,2,75.5,27,27,,,25,18.5,99,,15.2,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,36.116749,-95.999949,1
-106.242437,42.8584530000001,104,499,LITTLE AMERICA REFINING CO,SINCLAIR OIL CORP,Evansville,Wyoming,4,30,,11,,,5,,25.9,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,42.858453,-106.242437,0
-91.748001,30.526508,105,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,Krotz Springs,Louisiana,3,83,36.2,34,,,13,12.2,32,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.526508,-91.748001,1
